controles,riesgo_1,riesgo_2,riesgo_3,riesgo_4,riesgo_5,riesgo_total
verificar/corregir observaciones/comentarios del cliente,1,0,0,0,0,1
verificar todos los soportes legales,0,1,1,0,0,2
verificar todos los documentos legales,0,1,1,0,0,2
verificar si el acuerdo generado cumple las condiciones jurídicas necesarias,0,0,1,0,0,1
verificar si el acuerdo firmado cumple condiciones jurídicas para firma y sello de jurídico,0,0,1,0,0,1
verificar requisitos para realizar modificación/mantenimiento/actualización,1,0,0,0,0,1
verificar que se le responda al cliente en los tiempos definidos,0,0,0,0,0,0
verificar que los documentos y los entregables para la estructuración del proyecto estén completos y acordes a la necesidad del cliente,1,0,1,0,0,2
verificar que los documentos y los entregables estén completos y acordes a la necesidad del cliente,0,0,0,1,0,1
verificar que los documentos no contengan términos discriminativos,0,1,0,0,0,1
verificar que la solicitud se aplique correctamente,1,1,0,0,0,2
verificar que la solicitud cumpla con las requisitos pactados,0,1,1,0,0,2
verificar que la solicitud cumpla con las condiciones requeridas,1,1,1,0,0,3
verificar que el servicio sea acorde con las condiciones establecidas,1,1,1,0,0,3
verificar que el producto sea acorde con las condiciones establecidas,1,1,1,0,0,3
verificar que el contrato sea acorde con las condiciones establecidas,1,1,1,1,0,4
verificar que cliente haya leído y este de acuerdo con la información,1,0,0,0,0,1
verificar publicación de la información,1,1,1,0,0,3
verificar los documentos publicados a los clientes,0,0,0,1,0,1
verificar los documentos expuestos a los clientes,1,0,0,0,0,1
verificar los contratos y cláusulas que se dan a los clientes,0,0,0,0,0,0
verificar las solicitudes pendientes por atender,1,0,0,0,0,1
verificar las respuestas a los clientes,0,1,0,0,0,1
verificar las publicaciones para los  clientes,1,0,0,0,0,1
verificar las notificaciones para los clientes,0,0,0,0,0,0
verificar las condiciones/estado/características del cliente,1,0,0,0,0,1
verificar las condiciones,0,0,0,0,0,0
verificar la solicitud recibida,1,0,0,0,0,1
verificar la precisión y claridad de la información proporcionada en el contrato/documento,0,0,0,1,0,1
verificar la novedad del cliente,0,1,0,0,0,1
verificar la necesidad del cliente,0,1,0,0,0,1
verificar la información,0,0,1,0,0,1
verificar la entrega de la información,0,0,0,0,0,0
verificar la causación de las comisiones,0,0,0,0,1,1
verificar la causación de intereses,0,1,0,0,1,2
verificar la calidad de la información,0,0,0,0,0,0
verificar información de contacto del cliente,0,0,0,0,0,0
verificar fechas de vencimiento de reclamos y requerimientos para asegurar su respuesta oportuna,1,0,0,0,0,1
verificar estructura de la respuesta,0,0,0,0,0,0
verificar estructura de emisión/comunicación,0,0,0,0,0,0
verificar estructura de emisión,0,0,1,0,0,1
verificar estado vinculación cliente,0,0,0,0,0,0
verificar estado documentos contractuales,0,0,1,0,0,1
verificar el envío de la respuesta,0,1,0,0,0,1
verificar el contenido de la solución o de la respuesta,0,0,0,1,0,1
verificar cumplimiento del objeto del contrato,0,1,1,0,0,2
verificar cuentas por cobrar,1,0,0,0,0,1
verificar conexión de personas no autorizadas,0,0,0,0,0,0
verificar conexión de externos,0,0,0,0,0,0
verificar condiciones para perfilar,0,1,0,0,0,1
verificar condiciones del cliente,1,0,0,0,0,1
verificar condiciones de la asesoría,0,1,0,0,0,1
